,Actual,Predicted
387,[3.2  1.6  0.37],[2.458149  1.7516046 1.5268006]
388,[0.8  1.6  1.77],[0.7336483 2.5655763 1.636035 ]
389,[4.   1.6  0.37],[3.3441806  0.61572814 1.5639615 ]
390,[0.8  1.6  0.77],[0.62508297 2.3654242  1.1641474 ]
391,[1.6  1.6  1.17],[2.7241523 2.077569  1.3883877]
392,[2.4  4.   1.57],[2.8380039  5.3103294  0.19424146]
393,[0.8  4.   0.17],[0.52614665 3.356196   1.4533716 ]
394,[0.8  0.8  2.17],[0.99015737 0.8664732  1.6981006 ]
395,[1.6  3.2  0.77],[2.0504587 3.5642188 1.1394085]
396,[0.8  0.8  0.97],[1.0480638  0.86637926 1.8758916 ]
397,[1.6  4.   0.37],[2.2776666 4.7177353 1.0548168]
398,[1.6  4.   1.37],[2.302681  4.5889835 1.0782057]
399,[4.   2.4  0.37],[1.2300975 2.3810108 1.183275 ]
400,[1.6  4.   1.57],[2.2891216 4.6541424 1.0688787]
401,[1.6  3.2  1.57],[2.344976  2.7770066 1.2048821]
402,[2.4  0.8  1.37],[2.5773351 1.794096  1.0861598]
403,[1.6  2.4  1.17],[1.9843949 3.3145301 1.0451837]
404,[1.6  2.4  0.17],[2.6289406 2.9348016 0.9525816]
